№,Назвaние,Тикер,isin,RIC,Нaзвание,"Капитал, млрд $",Биржа,№ ,Сектор,№  ,Отрасль,"Объем, млн. шт","Цена, $",  ,MAX,MIN,CP,MAX ,MIN ,CP , MAX , MIN , CP , MAX  , MIN  , CP  ,  MAX  ,  MIN  ,  CP  ,  MAX   ,  MIN   ,  CP   ,   MAX   ,   MIN   ,   CP   , ,Описание,Рост/Спад
1116,US,KPELY,US4920513052,KPELY.PK,Keppel Ltd,15.558247,PNK,3,Потребительские нециклические товары,3,Конгломераты потребительских товаров,0.0,17.25,,19.78,0.0,16.8,16.2,11.23,14.14,16.2,7.93,12.27,16.2,7.93,11.19,16.2,5.71,10.53,16.2,4.79,8.66,16.2,3.89,7.25,,"Keppel Ltd. — глобальная компания по управлению активами и оператору, предоставляющая критически важную инфраструктуру и услуги для возобновляемых источников энергии, чистой энергии, декарбонизации, устойчивого обновления городов и цифровых подключений. Ее бизнес-сегмент «Инфраструктура» предоставляет энергетические и экологические решения и услуги, необходимые для устойчивого развития. Ее бизнес в сегменте недвижимости предоставляет устойчивые решения для городского пространства, уделяя особое внимание устойчивому обновлению городов и жизни пожилых людей. Основная деятельность сегмента подключений включает разработку и эксплуатацию центров обработки данных, предоставление телекоммуникационных услуг, продажу телекоммуникационного и информационно-технологического оборудования, а также предоставление решений и услуг системной интеграции. Сегмент корпоративной деятельности состоит в основном из казначейских операций, исследований и разработок, инвестиционных холдингов, предоставления управленческих и других вспомогательных услуг.",
1119,US,BDVSF,ZAE000117321,BDVSF.PK,Bidvest Group Ltd,4.764162,PNK,4,Потребительские нециклические товары,4,Конгломераты потребительских товаров,0.0,13.15,,13.15,0.0,0.63,14.05,13.1,13.43,14.05,13.1,13.48,14.15,12.9,13.58,14.25,12.9,13.52,15.43,11.3,13.16,20.85,5.01,11.0,,"Bidvest Group Limited — южноафриканская компания, занимающаяся услугами B2B, торговлей и дистрибуцией. Его сегментами являются International Services, Freight, Services South Africa, Branded Products, Commercial Products, Automotive и Adcock Ingram. Сегмент Adcock Ingram производит, продает и распространяет широкий спектр продуктов здравоохранения. Services International предлагает широкий спектр корпоративных аутсорсинговых услуг. Branded Products предлагает широкий ассортимент фирменной продукции, включая офисную продукцию, офисную мебель, решения для автоматизации офиса и потребительские товары, а также широкий спектр услуг печати, упаковки, маркировки и печати и отправки по почте. Подразделение грузовых перевозок занимается хранением, обработкой и перемещением грузов морскими, воздушными, автомобильными и железнодорожными перевозками. Автомобильное подразделение занимается онлайн-торговлей автомобилями и разработкой сложных систем для повышения качества обслуживания клиентов. Компания Automotive также работает в секторе аукционов по продаже автомобилей.",
1122,US,ALGGY,US01861B1017,ALGGY.PK,Alliance Global Group Inc,1.270945,PNK,5,Потребительские нециклические товары,5,Конгломераты потребительских товаров,0.0,7.31,,8.53,0.0,1.54,7.5,5.51,6.4,7.5,4.77,6.17,10.64,4.77,6.99,12.35,4.77,8.14,12.4,4.77,8.62,18.95,4.77,12.63,,"Alliance Global Group, Inc. — филиппинская конгломератная компания. Компания занимается деятельностью, включая девелопмент недвижимости, производство и распространение продуктов питания и напитков, развитие туризма и инфраструктурные проекты. В число ее дочерних компаний входят Megaworld, Emperador Inc., Travelers International и Infracorp. Ее сегмент Megaworld состоит из развития недвижимости, комплексных курортов, сдачи в аренду недвижимости и гостиничного бизнеса. Сегмент Emperador занимается производством и распространением спиртных напитков, включая производство стеклянной тары. Его сегмент «Путешественники» относится к ориентированному на туризм бизнесу, который объединяет развлечения, гостиничный бизнес и досуг, включая игры, как и у Newport World Resorts. Emperador Inc. — компания по производству спиртных напитков. Ее местные и приобретенные мировые бренды спиртных напитков и других алкогольных напитков доступны в 55 странах и в 300 розничных магазинах в аэропортах по всему миру.",
1127,US,TSCDF,GB00BLGZ9862,TSCDF.PK,Tesco PLC,41.876063,PNK,6,Потребительские нециклические товары,1,Розничная торговля и дистрибуция продуктов питания,0.0,6.38,,6.74,0.0,4.87,6.39,5.25,5.86,6.39,4.0,5.3,6.39,3.39,4.77,6.39,2.68,4.29,6.39,2.09,3.86,6.39,2.09,3.68,,"Tesco PLC — многонациональный ритейлер со штаб-квартирой в Великобритании. Сегменты компании включают Великобританию и Центральную Европу. Сегмент Великобритании и рентабельности инвестиций включает Великобританию и Ирландию. Сегмент Центральной Европы включает Чехию, Венгрию и Словакию. В число предприятий компании входят Tesco UK & ROI, Tesco Insurance, Booker, Dunnhumby, Tesco Czech Republic, Tesco Венгрия и Tesco Словакия. Tesco Insurance and Money Services предоставляет страховку, деньги на поездку, банкоматы (АТМ) и подарочные карты. Booker — оптовый торговец продуктами питания и напитками, обслуживающий клиентов розничной торговли и общественного питания.",
1130,US,AHODF,NL0011794037,AHODF.PK,Koninklijke Ahold Delhaize NV,42.19037,PNK,7,Потребительские нециклические товары,2,Розничная торговля и дистрибуция продуктов питания,0.0,48.11,,48.2,0.0,20.24,42.75,39.0,40.46,43.04,32.25,39.28,43.04,27.05,35.4,43.04,27.05,33.95,43.04,24.88,32.04,43.04,17.81,28.44,,"Koninklijke Ahold Delhaize N.V., ранее Koninklijke Ahold N.V., занимается управлением розничными магазинами в Европе и США. Сегментами компании являются Ahold USA, Delhaize America, Нидерланды, Бельгия, а также Центральная и Юго-Восточная Европа (CSE). Кроме того, в подразделение «Прочая розничная торговля» входят неконсолидированные совместные предприятия Ahold Delhaize JMR - Gestao de Empresas de Retalho, SGPS, S.A. (JMR) и P.T. Lion Super Indo, LLC (Super Indo) и офис глобальной поддержки Ahold Delhaize. JMR управляет розничными магазинами продуктов питания в Португалии под торговой маркой Pingo Doce. Сегмент компании Ahold USA включает Stop & Shop New England, Stop & Shop New York Metro, Giant Landover, Giant Carlisle и Peapod. В сегмент Delhaize America компании входят такие бренды, как Food Lion и Hannaford. Рыночные регионы бренда Food Lion включают Делавэр, Джорджию, Мэриленд, Пенсильванию, Теннесси, Западную Вирджинию, Кентукки, Северную Каролину, Южную Каролину и Вирджинию.",
1136,US,CLEGF,AU0000030678,CLEGF.PK,Coles Group Ltd,22.164115,PNK,8,Потребительские нециклические товары,1,Food Retail & Distribution,0.0,16.0,,16.0,0.0,0.76,16.8,13.0,14.46,16.8,9.97,13.57,16.8,7.69,12.27,16.8,7.69,11.21,16.8,7.69,11.81,16.8,7.69,11.6,,"Coles Group Limited — австралийская компания, занимающаяся розничной торговлей. Компания работает в двух сегментах: супермаркеты и алкоголь. Сегмент супермаркетов включает розничную торговлю свежими продуктами, бакалейными товарами и товарами общего назначения, включая Coles Online, Coles Financial Services и розничные медиа-услуги Coles 360. Сегмент «Алкогольные напитки» включает розничную торговлю спиртными напитками, включая онлайн-сервис. В число его предприятий входят супермаркеты Coles, Coles Online, Coles Liquor, Flybuys и Coles Financial Services. Coles Supermarkets — национальный розничный супермаркет с полным спектром услуг. Бизнес Coles Liquor включает три торговых баннера: Liquorland, Liquorland Cellars и Liquorland Warehouse. Coles Online предоставляет своим клиентам выбор доставки на дом, включая услуги доставки в тот же день и в ночное время, или самовывоз в пунктах «нажми и забери». Coles Liquor offers a range of wines, spirits, beers, and ready-to-drink products. Компания также управляет предприятиями по переработке свежего молока.",
1139,US,CPPCY,US12623Y1073,CPPCY.PK,CP All PCL,12.298955,PNK,9,Потребительские нециклические товары,3,Розничная торговля и дистрибуция продуктов питания,0.0,12.81,,13.91,0.0,1.24,14.73,12.0,13.51,15.64,12.0,13.88,19.52,12.0,15.65,24.99,12.0,16.22,28.45,12.0,17.43,37.11,12.0,21.83,,"CP All Public Company Limited занимается управлением магазинами повседневного спроса, оптовой торговлей, розничной торговлей и торговыми центрами, платежными центрами и сопутствующими вспомогательными услугами. Она управляет магазинами повседневного спроса под торговой маркой 7-Eleven и предоставляет франшизы другим ритейлерам на территории Таиланда. Его сегментами являются круглосуточные магазины, оптовый бизнес, розничный бизнес и торговые центры, а также другие виды бизнеса. Его бизнес включает в себя бизнес-группу розничной торговли магазинами повседневного спроса, оптовую и розничную бизнес-группу потребительских товаров, финансовые услуги, производство и распространение хлебобулочных изделий, готовых к употреблению продуктов питания, замороженных продуктов, образовательные услуги, информационные услуги, услуги маркетинговых коммуникаций и услуги по управлению логистикой. Другие ее направления деятельности включают услуги по оплате счетов, банковских агентов, производство и продажу готовых к употреблению продуктов питания, распространение и обслуживание торгового оборудования, а также другие виды деятельности, которые в основном поддерживают бизнес магазинов повседневного спроса.",
1143,US,MAKSF,GB0031274896,MAKSF.PK,Marks and Spencer Group PLC,9.21109,PNK,10,Потребительские нециклические товары,4,Розничная торговля и дистрибуция продуктов питания,0.0,4.2,,4.65,0.0,0.64,5.37,3.98,4.53,5.45,3.8,4.49,5.45,2.86,4.22,5.45,1.72,3.54,5.45,1.02,2.78,6.22,0.86,3.11,,"Маркс и Спенсер Груп P.L.C. является холдинговой компанией. Компания занимается розничной торговлей модной одеждой, товарами для дома и красоты, а также продуктами питания. Его сегменты включают UK & ROI Fashion, Home & Beauty, UK & ROI Food, International и Ocado. Сегмент UK & ROI Fashion, Home & Beauty включает розничную торговлю женской, мужской одеждой, нижним бельем, детской одеждой, косметическими товарами и товарами для дома через розничные магазины Великобритании и ROI, а также через Интернет. UK & ROI Food включает розничную торговлю продуктами питания в Великобритании и ROI, франчайзинговые операции UK Food и услуги цепочки поставок в Великобритании со следующими основными категориями: мясо, рыба, белковые деликатесы и молочные продукты; продукция и садоводство; блюда замороженные и продукты питания в пути; основная корзина; импульс и события; пиво, вина и спиртные напитки; гостеприимство; и прямые продажи Ocado Retail Limited. Международный сегмент состоит из предприятий, принадлежащих Marks and Spencer, в Европе (исключая Ирландию) и Азии, а также международных франчайзинговых операций. Прочие виды деятельности и операционные сегменты включают М&С Банк.",
1147,US,SRGHY,US82510E2090,SRGHY.PK,Shoprite Holdings Ltd,9.999173,PNK,11,Потребительские нециклические товары,5,Розничная торговля и дистрибуция продуктов питания,0.0,17.05,,18.14,16.0,17.11,17.5,14.33,16.04,17.5,12.69,15.64,18.18,11.98,15.47,18.18,9.36,14.71,18.18,8.39,13.76,23.47,5.35,13.06,,"Shoprite Holdings Limited — инвестиционная холдинговая компания со штаб-квартирой в Южной Африке. Компания является омниканальным ритейлером, преимущественно продающим продукты питания и товары общего назначения. Сегменты Компании включают супермаркеты RSA, супермаркеты не-RSA и другие операционные сегменты. Сегмент супермаркетов компании RSA включает все розничные операции под брендами Shoprite, Checkers, Checkers Hyper и Usave в Южной Африке, а также розничную торговлю такими продуктами, как продукты питания, одежда, товары общего назначения, косметика и спиртные напитки. Сегмент супермаркетов, не относящихся к RSA, включает все розничные операции под брендами Shoprite, Checkers и Usave за пределами Южной Африки, включая розничную торговлю такими продуктами, как продукты питания, одежда, товары общего назначения, косметика и спиртные напитки. Прочие операционные сегменты Компании включают все прочие операции, не включенные в сегменты «Супермаркеты RSA» и «Супермаркеты за пределами RSA», торговлю в странах RSA и «Не-RSA», включая операции по франчайзингу, а также розничную и оптовую торговлю фармацевтической продукцией.",
1156,US,SURRY,US8666331009,SURRY.PK,Sun Art Retail Group Ltd,1.741124,PNK,12,Потребительские нециклические товары,6,Розничная торговля и дистрибуция продуктов питания,0.0,1.73,,2.12,0.0,0.61,3.06,1.97,2.41,3.52,1.87,2.41,3.52,1.29,2.34,4.29,1.29,2.47,10.65,1.29,3.6,17.0,1.29,6.64,,"Sun Art Retail Group Ltd — компания, занимающаяся преимущественно деятельностью обычных магазинов и каналов онлайн-продаж. Компания стратегически обслуживает разнообразные сегменты клиентов через гипермаркеты как универсальные центры образа жизни, общественные супермаркеты с предметами первой необходимости и магазины по членству, предлагающие повышение уровня жизни и услуги премиум-класса. Компания продает продукты питания, бакалейные товары, текстиль и товары общего назначения через обычные магазины и каналы онлайн-продаж.",
1161,US,VITL,US92847W1036,VITL.O,Vital Farms Inc,0.555316,NMQ,13,Потребительские нециклические товары,7,Розничная торговля и дистрибуция продуктов питания,2.4,12.96,,14.57,12.12,12.92,53.12,30.0,39.31,53.12,28.87,37.13,53.12,14.16,33.98,53.12,10.0,27.16,53.12,7.89,23.05,53.12,7.89,23.91,,"Vital Farms, Inc. предлагает широкий выбор продуктов питания, произведенных с соблюдением этических норм, по всей стране. Компания является национальным потребительским брендом, который работает с более чем 575 семейными фермами и является брендом яиц, выращенных на пастбищах в США. Компания уделяет особое внимание гуманному обращению с сельскохозяйственными животными и устойчивым методам ведения сельского хозяйства. Компания упаковывает, продает и распространяет яйца в скорлупе, масло и другие продукты. Ее продукция, в том числе яйца в скорлупе, сливочное масло, яйца вкрутую и жидкие цельные яйца, продается примерно в 23 500 магазинах по всей стране. Розничные сорта яиц в скорлупе основаны на типе дополнительного корма, размере яиц и размере упаковки. Упаковка яиц состоит в основном из гофроящиков и картонных коробок для яиц. Компания предлагает несоленые и соленые сорта сливочного масла, которые продаются в упаковках по две и четыре палочки. Продукция компании в основном продается под названием Vital Farms в дополнение к другим торговым наименованиям, в первую очередь через каналы розничной торговли и общественного питания в Соединенных Штатах.",
1166,US,RBGPF,GB00BSZBP530,RBGPF.PK,Reckitt Benckiser Group PLC,41.160838,PNK,14,Потребительские нециклические товары,1,Товары для дома,0.0,63.47,,73.08,0.0,38.59,82.13,65.7,75.65,82.13,58.2,70.34,82.13,58.2,70.34,82.13,58.2,70.34,82.13,58.2,70.34,82.13,58.2,70.34,,"Reckitt Benckiser Group PLC (Reckitt) — британская глобальная компания по производству потребительских товаров. Операционные сегменты Компании включают направления «Гигиена», «Здоровье» и «Питание». Портфель продуктов Hygiene направлен на устранение грязи, микробов, вредителей и запахов с помощью таких продуктов, как Lysol, Finish, Harpic и Mortein. Портфолио компании Health предлагает различные решения, обеспечивающие облегчение боли, защиту, гигиену и личный уход для домохозяйств по всему миру с помощью таких брендов, как Dettol, Durex, Gaviscon, Nurofen, Mucinex, Strepsils и Veet. Бизнес по питанию включает в себя питание для младенцев и детей, питание для взрослых и ассортимент витаминов, минералов и добавок (VMS). Бренды, работающие в сфере питания, включают Enfa, Enfamil, Nutramigen, Airborne, Move Free и Neuriva. Бренды компании также включают Delsym, Cepacol, MegaRed, Digestive Advantage и другие. В число ее дочерних компаний входят Mead Johnson Nutrition (Thailand) Ltd, Access VC Limited, Durex Limited и другие.",
1182,US,UNLRY,US69367Q1040,UNLRY.PK,Unilever Indonesia Tbk PT,3.29664,PNK,15,Потребительские нециклические товары,2,Товары для дома,0.0,1.93,,2.3,0.0,0.6,3.2,1.77,2.6,3.2,1.3,2.07,4.5,1.3,2.61,6.28,1.3,3.0,10.7,1.3,4.26,16.71,1.3,5.88,,"PT Unilever Indonesia Tbk — индонезийская компания, которая занимается производством, маркетингом и распространением потребительских товаров, включая мыло, моющие средства, молочные продукты, косметические продукты, напитки на основе чая и фруктовые соки, а также сдачей в аренду офисных помещений. Его сегменты включают товары для дома и личной гигиены, а также продукты питания и напитки. Сегменты товаров для дома и личной гигиены относятся к чистящим средствам, которые используются в бытовой и косметической продукции. Сегмент «Продукты питания и напитки» относится к продуктам питания и напиткам. Сегменты компании включают Axe, Squirt, Buavita, Cif, Clear Men, Closeup, Cornetto, Dove, Feast, Glow & Lovely, Hellmann's, Jawara, Knorr, Lifebuoy, Love Beauty & Planet, LUX, Molto, Paddle Pop, Pepsodent, PONDS, Pond's Men, Rexona, Rinso, Royco, SquirrelSquirt, Exciting, Simple, Sunlight, Sunsilk, Superpell, TRESeme, Unilever Professional, Vaseline Men, Viennetta, Vixal, Walls, Wipol и Switzerland.",
1186,US,HEGIF,KYG4402L1510,HEGIF.PK,Hengan International Group Co Ltd,3.994942,PNK,16,Потребительские нециклические товары,1,Личные продукты,0.0,3.2,,3.54,0.0,0.32,3.9,2.9,3.32,3.9,2.37,3.16,3.9,2.37,3.2,5.2,2.37,3.45,7.38,2.37,4.32,11.19,2.37,7.13,,"Hengan International Group Co Ltd — инвестиционная холдинговая компания, занимающаяся в основном производством, распространением и продажей средств личной гигиены. Компания в основном управляет тремя сегментами. Сегмент «Товары гигиены» занимается производством и продажей гигиенических прокладок, прокладок, ночных трусов и средств женской интимной гигиены под брендами SPACE 7 и ANERLE, а также одноразовых подгузников под брендами ANERLE и ELDERJOY. Сегмент «Продукция из папиросной бумаги» занимается производством и продажей карманных носовых платков, коробочной и мягкой папиросной бумаги, а также кухонных полотенец или бумажных изделий под брендами HEARTTEX и PINO. Сегмент «Другие» занимается производством и реализацией товаров для дома под брендами H’YEAS и HOMELINE. Компания ведет свою деятельность на внутреннем и зарубежном рынках.",
1193,US,ODD,IL0011974909,ODD.O,Oddity Tech Ltd,0.87308,NMQ,17,Потребительские нециклические товары,2,Личные продукты,1.38,15.41,,16.32,12.77,14.75,77.83,35.76,55.08,79.18,35.3,53.99,79.18,30.34,47.2,79.18,24.12,45.42,79.18,24.12,45.42,79.18,24.12,45.42,,"Oddity Tech Ltd — израильская компания, работающая в сфере красоты и здоровья. Компания управляет технологической платформой под собственным брендом в Интернете, целью которой является поддержка портфеля брендов и услуг, связанных с рынком красоты и здоровья, а также разработка продуктов, адаптированных к пожеланиям клиентов Компании. Компания использует алгоритмы и модели машинного обучения для сопоставления соответствующего физического продукта. Передовые биологические модели и инструменты машинного обучения используются для поиска новых молекул для красоты и здоровья. Компания активно занимается исследованиями и разработками в таких областях, как наука о данных, машинное обучение и компьютерное зрение, чтобы совершенствовать свою продукцию.",
1195,US,KSRYY,US5006791058,KSRYY.PK,Kose Holdings Corp,2.15316,PNK,18,Потребительские нециклические товары,3,Личные продукты,0.0,6.91,,7.67,0.0,1.74,8.2,5.93,7.43,9.24,5.93,7.99,14.94,5.93,10.31,24.56,5.93,13.87,35.49,5.93,18.53,47.63,5.93,23.9,,"Kose Corp — японская компания, занимающаяся в основном производством и продажей косметики. Компания работает в двух бизнес-сегментах. Основная продукция косметического бизнес-сегмента включает продукцию таких брендов, как Kose, SEKKISEI, ESPRIQUE, LECHERI, ONE BY KOSE, Cosme Decorte, Predia, INFINITY, JILLSTUART, ADDICTION и tarte. Основная продукция сегмента косметического бизнеса включает продукцию таких брендов, как Visee, FASIO, MAKE KEEP, NAILHOLIC, softymo, SUNCUT, CLEAR TURN и STEPHEN KNOLL NEW YORK. Компания также занимается продажей товаров для дома и арендой недвижимости.",
1196,US,PGENY,US7210061047,PGENY.PK,Pigeon Corp,1.328176,PNK,19,Потребительские нециклические товары,4,Личные продукты,0.0,2.78,,2.78,0.0,0.13,3.5,2.24,2.81,3.5,2.07,2.82,3.5,1.99,2.52,4.14,1.99,2.92,11.56,1.99,4.12,14.38,1.99,6.98,,"Pigeon Corp — японская компания, занимающаяся в основном производством, покупкой и продажей товаров для ухода за детьми и ухода за ними. Он имеет шесть бизнес-сегментов. Сегмент Domestic Baby and Mom производит и продает товары для ухода за детьми и товары для женщин. В основном это товары для прикорма, средства по уходу за кожей, влажные салфетки, детское питание и товары для прогулок. Китайский сегмент производит и реализует продукцию в Китае, Южной Корее, Гонконге, Тайване, России. Сегмент Lansinoh производит и продает продукцию в США, Германии, Великобритании, Турции, Китае. Сингапурский сегмент производит и продает продукцию в странах АСЕАН, таких как Сингапур, Индонезия, Таиланд и Малайзия, а также в Индии, Австралии и на Ближнем Востоке. Сегмент «Здравоохранение и уход за больными» производит и продает продукцию, а также предоставляет услуги по уходу. Продукты - это продукты, используемые при недержании, продукты для ухода за больными. Сегмент поддержки детей управляет учреждениями по уходу за детьми и классами для младенцев, а также предоставляет услуги по присмотру за детьми.",
1216,US,KNBWF,JP3258000003,KNBWF.PK,Kirin Holdings Co Ltd,12.770794,PNK,20,Потребительские нециклические товары,1,Пивовары,0.0,15.71,,16.35,0.0,3.06,16.42,13.64,15.01,16.42,12.85,14.49,16.42,12.85,13.98,16.64,12.85,14.54,22.82,12.85,16.07,28.75,12.85,17.73,,"Kirin Holdings Co Ltd — японская компания, занимающаяся в основном интегрированным бизнесом по производству напитков и фармацевтическим бизнесом. Компания работает в четырех бизнес-сегментах. Сегмент «Домашнее пиво и спиртные напитки» занимается производством и продажей пива, низкосолодового пива, продукции нового жанра, вин и другой ликеро-водочной продукции в Японии. Сегмент «Домашние напитки» занимается производством и продажей безалкогольных напитков в Японии. Сегмент алкогольных напитков Океании производит и продает пиво и спиртные напитки в западном стиле в Океании и других регионах. Сегмент «Фармацевтика» занимается производством и продажей фармацевтической продукции. Компания также занимается производством отечественного вина, производством напитков в Северной Америке и биохимическим бизнесом.",
1218,US,SWRBY,US8707944018,SWRBY.PK,Swire Pacific Ltd,13.296791,PNK,21,Потребительские нециклические товары,1,Безалкогольные напитки,0.0,8.3,,8.3,0.0,0.4,8.25,7.0,7.6,8.25,5.71,7.28,8.25,5.71,6.94,8.25,4.47,6.36,8.25,3.82,5.14,9.09,3.36,5.89,,"Swire Pacific Ltd — инвестиционная холдинговая компания, занимающаяся в основном производством и продажей напитков. Компания осуществляет свою деятельность в пяти сегментах. Сегмент «Напитки» занимается производством и распространением The Coca-Cola Company (TCCC), в том числе газированной воды и воды. Авиационный сегмент включает ассоциированную долю в авиакомпаниях, предоставляющих пассажирские и грузовые перевозки, а также в бизнесе по техническому обслуживанию и ремонту авиации. Сегмент недвижимости занимается инвестициями в недвижимость, инвестициями и управлением гостиницами, а также торговлей недвижимостью, при этом инвестиционный портфель включает офисные и торговые помещения, отели, апартаменты с обслуживанием и другие жилые помещения. Торгово-промышленный сегмент занимается розничной торговлей и дистрибуцией обуви, одежды и сопутствующих аксессуаров, фасует и продает сахар, управляет сетями пекарен, а также продает легковые автомобили, коммерческий транспорт, мотоциклы и скутеры. Сегмент «Головной офис», «Здравоохранение» и другие занимаются инвестициями в здравоохранение.",
1221,US,TSGTY,US8985291025,TSGTY.PK,Tsingtao Brewery Co Ltd,10.97341,PNK,22,Потребительские нециклические товары,2,Пивовары,0.0,32.8,,32.8,0.0,7.51,36.69,30.5,32.74,38.7,30.42,33.71,42.19,25.05,32.79,54.88,25.05,37.64,57.57,25.05,41.03,57.57,16.25,34.43,,"Tsingtao Brewery Co Ltd — китайская компания, занимающаяся в основном производством и продажей пива. Компания осуществляет свою деятельность в семи сегментах. Сегмент региона Шаньдун занимается производством и распространением в Шаньдуне и прилегающих регионах. Сегмент Южно-Китайского региона занимается производством и распространением в Южном Китае. Сегмент Северо-Китайского региона занимается производством и распространением в Северном Китае. Сегмент Восточно-Китайского региона занимается производством и распространением в Восточном Китае. Сегмент региона Юго-Восточного Китая занимается производством и распространением в Юго-Восточном Китае. Сегмент Гонконга, Макао и других зарубежных регионов занимается дистрибуцией пива в Гонконге, Макао и других зарубежных регионах. Сегмент финансовой компании занимается финансовым бизнесом по управлению активами, а также агентским сбором и выплатами своим членам. Компания в основном осуществляет свою деятельность на внутреннем и зарубежных рынках.",
1225,US,TAP.A,US60871R1005,TAPa.N,Molson Coors Beverage Co,7.597954,NYS,23,Потребительские нециклические товары,3,Пивовары,0.0,47.89,,47.89,0.0,4.39,54.78,43.89,48.68,65.82,43.89,53.33,68.6,43.89,56.62,84.0,43.89,60.14,88.0,43.89,60.89,108.0,42.0,64.44,,"Molson Coors Beverage Company — холдинговая компания. Компания работает в двух сегментах: Америка и Европа, Ближний Восток и Африка и Азиатско-Тихоокеанский регион. Сегмент Америки состоит из производства, импорта, маркетинга, распространения и продаж собственных брендов, партнерских брендов и лицензированных брендов в США, Канаде и различных странах Латинской Америки. Компания управляет девятью основными пивоваренными заводами, тремя крафтовыми пивоварнями и двумя контейнерными предприятиями. Он также включает в себя партнерские соглашения по распространению пива в Онтарио и западных провинциях Канады. Сегмент EMEA и APAC состоит из производства, маркетинга и продаж своих основных брендов, а также других собственных и лицензированных брендов в Болгарии, Хорватии, Чехии, Венгрии, Черногории, Ирландии, Румынии, Сербии, Великобритании, различных других европейских странах и некоторых странах Ближнего Востока, Африки и Азиатско-Тихоокеанского региона. В его состав входят около 10 основных пивоваренных заводов, три крафтовых пивоварни и одна сидроварня.",
1226,US,TBVPY,US88321L1008,TBVPY.PK,Thai Beverage PCL,8.465825,PNK,24,Потребительские нециклические товары,1,Дистилляторы и винодельни,0.0,33.46,,0.0,0.0,0.0,38.7,33.56,36.18,40.66,32.88,36.74,40.66,32.88,36.72,52.8,32.88,38.79,61.81,32.88,42.94,71.77,32.88,51.43,,"Thai Beverage Public Company Limited — производитель и дистрибьютор напитков в Таиланде. Компания работает в четырех сегментах: спиртные напитки, пиво, безалкогольные напитки и продукты питания. Сегмент «Спиртные напитки» занимается производством и реализацией фирменной алкогольной продукции и газированных напитков. Сегмент «Пиво» занимается производством и реализацией сырья, фирменной пивной продукции, газировки «Чанг» и воды «Чанг». Сегмент «Безалкогольные напитки» компании занимается производством и реализацией фирменной воды, готового кофе, энергетических напитков, зеленого чая и фруктово-ароматизированных напитков. Сегмент Food занимается производством и продажей продуктов питания и напитков. В число ее продуктов входят Mekhong, SangSom, BLEND 285, CROWN 99, Old Pulteney 12 лет, MacArthur’s, Grand Royal Black, est Cola, est PLAY Strawberry, est Salty Lychee Plus B, Crystal Drinking Water, газированная вода Rock Mountain и другие.",
1227,US,DVDCF,NL0015435975,DVDCF.PK,Davide Campari Milano NV,9.045036,PNK,25,Потребительские нециклические товары,2,Дистилляторы и винодельни,0.0,7.25,,7.9,0.0,2.11,8.1,6.19,6.91,8.1,5.34,6.52,11.08,5.34,7.55,14.45,5.34,8.95,15.23,5.34,9.93,15.23,3.83,9.02,,"Davide Campari Milano NV, зарегистрированная в Нидерландах, является компанией, работающей в индустрии фирменных спиртных напитков. Компания владеет обширным и разнообразным портфелем продукции, состоящим из более чем 50 брендов, включая Aperol, Appleton Estate, Campari, Grand Marnier, SKYY Vodka и Wild Turkey. Он работает в четырех географических сегментах: Америка; Южная Европа, Ближний Восток и Африка; Северная, Центральная и Восточная Европа; Азиатско-Тихоокеанский регион. Компания представляет собой глобальную дистрибьюторскую компанию, торгуя в более чем 190 странах мира, уделяя особое внимание Европе и Америке. Имеет 21 производственное предприятие и собственную дистрибьюторскую сеть в 20 странах.",
